studentId,classId,decision,reason,status,termStart,termEnd,documentId
05PdqyJkxpQDPIWbcFXe,8gRFsTVLErsXTi2DbRyD,create,SAFE_CURRENT_ENROLLMENT,active,2026-06-28,2026-08-22,WyIwNVBkcXlKa3hwUURQSVdiY0ZYZSIsIjhnUkZzVFZMRXJzWFRpMkRiUnlEIiwiMjAyNi0wNi0yOCJd
0A1hfKDPJHbBaYNdbhc0,RI6vRY14dJtwLSpdy1Bc,exclude,EXISTING_ENROLLMENT,,,,
0aXOPzXWrOX3kBtl88hH,lYMDImfr5T7qBTEXcmSW,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-12,2026-08-31,WyIwYVhPUHpYV3JPWDNrQnRsODhoSCIsImxZTURJbWZyNVQ3cUJURVhjbVNXIiwiMjAyNi0wNy0xMiJd
0H9M4t2b0Di6i6CK0G0u,WTZAYh5srIEDgPEDjzwn,exclude,EXISTING_ENROLLMENT,,,,
0hmhaSS5Wh6iiSORCV9l,AnxnD92cSGEYTMqhNFw5,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-22,2026-09-16,WyIwaG1oYVNTNVdoNmlpU09SQ1Y5bCIsIkFueG5EOTJjU0dFWVRNcWhORnc1IiwiMjAyNi0wNy0yMiJd
0ikEiIjIiI3hz516PPA9,dIEGKNxQyAS4uRtQmnPq,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-13,2026-09-06,WyIwaWtFaUlqSWlJM2h6NTE2UFBBOSIsImRJRUdLTnhReUFTNHVSdFFtblBxIiwiMjAyNi0wNy0xMyJd
0lbqZZEjlIfcAVKANuVO,RI6vRY14dJtwLSpdy1Bc,exclude,EXISTING_ENROLLMENT,,,,
0mteiS0S7ioG1tVndRZv,MbEjkY4bZPvUt9ykRpPu,exclude,ENDED_CLASS,,,,
0PbhxSXaW1hqVnvn6O7C,187uCU8mzdnrWpziZrDe,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-08,2026-08-28,WyIwUGJoeFNYYVcxaHFWbnZuNk83QyIsIjE4N3VDVThtemRucldwemlackRlIiwiMjAyNi0wNy0wOCJd
0YMC6pPlPYhro8Arq1Kc,aoaDsr3lgBvSj211VCkJ,exclude,EXISTING_ENROLLMENT,,,,
129EXIJdmhl5LfrMdVKD,pAKl7xpSLd1atr3eRofo,create,SAFE_CURRENT_ENROLLMENT,active,2026-06-23,2026-08-13,WyIxMjlFWElKZG1obDVMZnJNZFZLRCIsInBBS2w3eHBTTGQxYXRyM2VSb2ZvIiwiMjAyNi0wNi0yMyJd
12FZ7po5MORjVqpQUfHR,187uCU8mzdnrWpziZrDe,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-08,2026-08-28,WyIxMkZaN3BvNU1PUmpWcXBRVWZIUiIsIjE4N3VDVThtemRucldwemlackRlIiwiMjAyNi0wNy0wOCJd
1bAeUYjWTaL5nyyVLUyH,DRjcUgJIng8OdUMVof8X,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-11,2026-08-30,WyIxYkFlVVlqV1RhTDVueXlWTFV5SCIsIkRSamNVZ0pJbmc4T2RVTVZvZjhYIiwiMjAyNi0wNy0xMSJd
1el5pQbx6C7NoeC72Ngy,htDI41OT3fXxmNWfnknT,exclude,EXISTING_ENROLLMENT,,,,
1hKy5gVyPUqclq7amkBq,LMpRvmwnanq28ftRLvP3,exclude,NON_CURRENT_STATUS,,,,
1IAmz9Sl9vx64eDbp3ay,vNK2ADOv5VCXhP3Q2sOg,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-16,2026-09-08,WyIxSUFtejlTbDl2eDY0ZURicDNheSIsInZOSzJBRE92NVZDWGhQM1Eyc09nIiwiMjAyNi0wNy0xNiJd
1IOxOnSYK0vcgZ27rMfh,b6GS6Dg5npzK3y2iRpbs,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-02,2026-08-25,WyIxSU94T25TWUswdmNnWjI3ck1maCIsImI2R1M2RGc1bnB6SzN5MmlScGJzIiwiMjAyNi0wNy0wMiJd
1kE0tKx21XMEOR1r5G5d,lYMDImfr5T7qBTEXcmSW,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-12,2026-08-31,WyIxa0UwdEt4MjFYTUVPUjFyNUc1ZCIsImxZTURJbWZyNVQ3cUJURVhjbVNXIiwiMjAyNi0wNy0xMiJd
1kG5Rdw0N5ypSuumybsX,PVSYXAXaSz9rqGa5MFFw,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-15,2026-09-09,WyIxa0c1UmR3ME41eXBTdXVteWJzWCIsIlBWU1lYQVhhU3o5cnFHYTVNRkZ3IiwiMjAyNi0wNy0xNSJd
1lZPhaqwqtJPGazsgBOI,LMpRvmwnanq28ftRLvP3,exclude,NON_CURRENT_STATUS,,,,
1MiN4cxuFlMcnIzj2auQ,ERCRTO9edy422YC37xiy,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-11,2026-08-30,WyIxTWlONGN4dUZsTWNuSXpqMmF1USIsIkVSQ1JUTzllZHk0MjJZQzM3eGl5IiwiMjAyNi0wNy0xMSJd
2acCUS6ycRWN8rXnvTv1,b6GS6Dg5npzK3y2iRpbs,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-02,2026-08-25,WyIyYWNDVVM2eWNSV044clhudlR2MSIsImI2R1M2RGc1bnB6SzN5MmlScGJzIiwiMjAyNi0wNy0wMiJd
2DIGQggr9fGrlt937cNE,vNK2ADOv5VCXhP3Q2sOg,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-16,2026-09-08,WyIyRElHUWdncjlmR3JsdDkzN2NORSIsInZOSzJBRE92NVZDWGhQM1Eyc09nIiwiMjAyNi0wNy0xNiJd
2DVNHVuXBTIU94wncgE3,187uCU8mzdnrWpziZrDe,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-08,2026-08-28,WyIyRFZOSFZ1WEJUSVU5NHduY2dFMyIsIjE4N3VDVThtemRucldwemlackRlIiwiMjAyNi0wNy0wOCJd
2HcFtkGJhRkVwXEtaNu6,DPZ0ENoAC52canMi03Dr,exclude,EXISTING_ENROLLMENT,,,,
2j0urrJAqxJ4p5aRQ531,pAKl7xpSLd1atr3eRofo,create,SAFE_CURRENT_ENROLLMENT,active,2026-06-23,2026-08-13,WyIyajB1cnJKQXF4SjRwNWFSUTUzMSIsInBBS2w3eHBTTGQxYXRyM2VSb2ZvIiwiMjAyNi0wNi0yMyJd
2upeFRFP2omi2uPJ4gKg,tY5PIISvWwaH4ZL7qGHX,create,SAFE_CURRENT_ENROLLMENT,active,2026-06-13,2026-08-02,WyIydXBlRlJGUDJvbWkydVBKNGdLZyIsInRZNVBJSVN2V3dhSDRaTDdxR0hYIiwiMjAyNi0wNi0xMyJd
2uPuOEXP2aoluouGxfms,WTZAYh5srIEDgPEDjzwn,exclude,EXISTING_ENROLLMENT,,,,
2xKpPYscvOhgibZg6Ttv,8gRFsTVLErsXTi2DbRyD,create,SAFE_CURRENT_ENROLLMENT,active,2026-06-28,2026-08-22,WyIyeEtwUFlzY3ZPaGdpYlpnNlR0diIsIjhnUkZzVFZMRXJzWFRpMkRiUnlEIiwiMjAyNi0wNi0yOCJd
32mavMdqalC12Zx7NaCM,tY5PIISvWwaH4ZL7qGHX,create,SAFE_CURRENT_ENROLLMENT,on_leave,2026-06-13,2026-08-02,WyIzMm1hdk1kcWFsQzEyWng3TmFDTSIsInRZNVBJSVN2V3dhSDRaTDdxR0hYIiwiMjAyNi0wNi0xMyJd
33PMF0IyFb9iO3sO5Taa,DRjcUgJIng8OdUMVof8X,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-11,2026-08-30,WyIzM1BNRjBJeUZiOWlPM3NPNVRhYSIsIkRSamNVZ0pJbmc4T2RVTVZvZjhYIiwiMjAyNi0wNy0xMSJd
3cpU8EdbAdwyE98mBBnN,PVSYXAXaSz9rqGa5MFFw,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-15,2026-09-09,WyIzY3BVOEVkYkFkd3lFOThtQkJuTiIsIlBWU1lYQVhhU3o5cnFHYTVNRkZ3IiwiMjAyNi0wNy0xNSJd
3mAsJ3pZRjeIjLAVrnUD,htDI41OT3fXxmNWfnknT,exclude,EXISTING_ENROLLMENT,,,,
