studentId,classId,decision,reason,status,termStart,termEnd,documentId
05PdqyJkxpQDPIWbcFXe,8gRFsTVLErsXTi2DbRyD,exclude,EXISTING_ENROLLMENT,,,,
07X7JnY3K5LIifnmhXjc,RI6vRY14dJtwLSpdy1Bc,exclude,EXISTING_ENROLLMENT,,,,
0A1hfKDPJHbBaYNdbhc0,RI6vRY14dJtwLSpdy1Bc,exclude,EXISTING_ENROLLMENT,,,,
0aXOPzXWrOX3kBtl88hH,lYMDImfr5T7qBTEXcmSW,exclude,EXISTING_ENROLLMENT,,,,
0H9M4t2b0Di6i6CK0G0u,WTZAYh5srIEDgPEDjzwn,exclude,EXISTING_ENROLLMENT,,,,
0hmhaSS5Wh6iiSORCV9l,AnxnD92cSGEYTMqhNFw5,exclude,EXISTING_ENROLLMENT,,,,
0ikEiIjIiI3hz516PPA9,dIEGKNxQyAS4uRtQmnPq,exclude,EXISTING_ENROLLMENT,,,,
0lbqZZEjlIfcAVKANuVO,RI6vRY14dJtwLSpdy1Bc,exclude,EXISTING_ENROLLMENT,,,,
0mteiS0S7ioG1tVndRZv,MbEjkY4bZPvUt9ykRpPu,exclude,EXISTING_ENROLLMENT,,,,
0PbhxSXaW1hqVnvn6O7C,187uCU8mzdnrWpziZrDe,exclude,EXISTING_ENROLLMENT,,,,
0YMC6pPlPYhro8Arq1Kc,aoaDsr3lgBvSj211VCkJ,exclude,EXISTING_ENROLLMENT,,,,
129EXIJdmhl5LfrMdVKD,pAKl7xpSLd1atr3eRofo,exclude,EXISTING_ENROLLMENT,,,,
12FZ7po5MORjVqpQUfHR,187uCU8mzdnrWpziZrDe,exclude,EXISTING_ENROLLMENT,,,,
1bAeUYjWTaL5nyyVLUyH,DRjcUgJIng8OdUMVof8X,exclude,EXISTING_ENROLLMENT,,,,
1el5pQbx6C7NoeC72Ngy,htDI41OT3fXxmNWfnknT,exclude,EXISTING_ENROLLMENT,,,,
1hKy5gVyPUqclq7amkBq,LMpRvmwnanq28ftRLvP3,exclude,NON_CURRENT_STATUS,,,,
1IAmz9Sl9vx64eDbp3ay,vNK2ADOv5VCXhP3Q2sOg,exclude,EXISTING_ENROLLMENT,,,,
1IOxOnSYK0vcgZ27rMfh,b6GS6Dg5npzK3y2iRpbs,exclude,EXISTING_ENROLLMENT,,,,
1kE0tKx21XMEOR1r5G5d,lYMDImfr5T7qBTEXcmSW,exclude,EXISTING_ENROLLMENT,,,,
1kG5Rdw0N5ypSuumybsX,PVSYXAXaSz9rqGa5MFFw,exclude,EXISTING_ENROLLMENT,,,,
1lZPhaqwqtJPGazsgBOI,LMpRvmwnanq28ftRLvP3,exclude,NON_CURRENT_STATUS,,,,
1MiN4cxuFlMcnIzj2auQ,ERCRTO9edy422YC37xiy,exclude,EXISTING_ENROLLMENT,,,,
2acCUS6ycRWN8rXnvTv1,b6GS6Dg5npzK3y2iRpbs,exclude,EXISTING_ENROLLMENT,,,,
2DIGQggr9fGrlt937cNE,vNK2ADOv5VCXhP3Q2sOg,exclude,EXISTING_ENROLLMENT,,,,
2DVNHVuXBTIU94wncgE3,187uCU8mzdnrWpziZrDe,exclude,EXISTING_ENROLLMENT,,,,
2HcFtkGJhRkVwXEtaNu6,DPZ0ENoAC52canMi03Dr,exclude,EXISTING_ENROLLMENT,,,,
2j0urrJAqxJ4p5aRQ531,pAKl7xpSLd1atr3eRofo,exclude,EXISTING_ENROLLMENT,,,,
2upeFRFP2omi2uPJ4gKg,tY5PIISvWwaH4ZL7qGHX,exclude,NON_CURRENT_STATUS,,,,
2uPuOEXP2aoluouGxfms,WTZAYh5srIEDgPEDjzwn,exclude,EXISTING_ENROLLMENT,,,,
2xKpPYscvOhgibZg6Ttv,8gRFsTVLErsXTi2DbRyD,exclude,EXISTING_ENROLLMENT,,,,
32mavMdqalC12Zx7NaCM,tY5PIISvWwaH4ZL7qGHX,exclude,NON_CURRENT_STATUS,,,,
33PMF0IyFb9iO3sO5Taa,DRjcUgJIng8OdUMVof8X,exclude,EXISTING_ENROLLMENT,,,,
3cpU8EdbAdwyE98mBBnN,PVSYXAXaSz9rqGa5MFFw,exclude,EXISTING_ENROLLMENT,,,,
3mAsJ3pZRjeIjLAVrnUD,htDI41OT3fXxmNWfnknT,exclude,EXISTING_ENROLLMENT,,,,
